Khris,Middleton,2015-03-11,MIL,ORL,True,2495.0,12,17,4,4,2,2,0,3,3,5,2,0,1,2,30
Chris,Paul,2015-03-11,LAC,OKC,False,2212.0,11,19,5,8,6,7,0,4,4,9,2,0,5,3,33
J.J.,Redick,2015-03-11,LAC,OKC,False,2113.0,6,14,3,6,10,10,1,4,5,7,3,0,1,2,25
Aaron,Brooks,2015-03-11,CHI,PHI,False,2192.0,12,20,3,7,4,6,0,4,4,5,0,0,1,2,31
Anthony,Morrow,2015-03-11,OKC,LAC,True,2133.0,8,12,6,9,4,4,0,3,3,1,3,0,0,5,26
Matt,Barnes,2015-03-11,LAC,OKC,False,2384.0,6,8,6,7,4,4,0,3,3,1,3,2,0,4,22
Danilo,Gallinari,2015-03-11,DEN,ATL,True,1439.0,8,12,4,5,3,3,1,4,5,5,1,0,1,0,23
Andre,Drummond,2015-03-11,DET,GSW,False,2012.0,11,23,0,0,0,2,15,10,25,0,2,2,3,3,22
Michael,Kidd-Gilchrist,2015-03-11,CHO,SAC,True,1913.0,9,12,0,0,5,8,1,8,9,2,1,2,1,5,23
Dwyane,Wade,2015-03-11,MIA,BRK,True,2015.0,10,25,0,1,8,11,2,1,3,9,2,0,2,1,28
Ben,McLemore,2015-03-11,SAC,CHO,False,2448.0,10,16,3,4,4,4,0,2,2,2,1,0,1,3,27
Chris,Andersen,2015-03-11,MIA,BRK,True,1770.0,8,9,0,0,2,4,5,9,14,1,1,1,1,3,18
Klay,Thompson,2015-03-11,GSW,DET,True,2092.0,11,19,3,6,2,2,0,2,2,3,1,1,2,1,27
Markieff,Morris,2015-03-11,PHO,MIN,True,2220.0,10,15,0,2,4,4,1,2,3,2,1,1,3,2,24
LaMarcus,Aldridge,2015-03-11,POR,HOU,True,1962.0,12,20,1,3,1,1,6,8,14,1,0,1,5,5,26
Kenneth,Faried,2015-03-11,DEN,ATL,True,1278.0,6,7,0,0,2,2,2,3,5,2,1,4,1,1,14
Pau,Gasol,2015-03-11,CHI,PHI,False,2608.0,13,25,0,0,1,2,4,12,16,2,0,1,4,3,27
Gerald,Henderson,2015-03-11,CHO,SAC,True,2041.0,7,16,0,2,3,4,1,5,6,11,0,0,1,1,17
Brook,Lopez,2015-03-11,BRK,MIA,False,1955.0,6,11,0,1,3,4,5,9,14,1,0,1,0,1,15
Trevor,Ariza,2015-03-11,HOU,POR,False,2256.0,3,7,3,6,2,2,1,5,6,6,2,1,0,1,11
Rudy,Gay,2015-03-11,SAC,CHO,False,2326.0,9,17,2,3,6,8,0,3,3,1,0,1,2,3,26
Robin,Lopez,2015-03-11,POR,HOU,True,1814.0,7,10,0,1,2,3,4,6,10,0,0,1,0,2,16
Tony,Allen,2015-03-11,MEM,BOS,False,1606.0,7,9,0,0,2,2,2,3,5,2,2,2,3,2,16
Ish,Smith,2015-03-11,PHI,CHI,True,2236.0,9,21,3,7,2,2,1,1,2,6,0,0,1,1,23
Kyle,Korver,2015-03-11,ATL,DEN,False,1556.0,6,8,5,7,1,1,0,3,3,0,1,1,2,0,18
Andre,Iguodala,2015-03-11,GSW,DET,True,1685.0,6,7,1,1,0,1,3,4,7,2,2,1,2,1,13
Corey,Brewer,2015-03-11,HOU,POR,False,1490.0,9,16,3,5,2,5,0,2,2,2,2,0,2,3,23
Terrence,Jones,2015-03-11,HOU,POR,False,2147.0,6,13,0,2,5,7,5,7,12,0,1,1,1,2,17
Nicolas,Batum,2015-03-11,POR,HOU,True,2407.0,7,13,3,6,1,2,0,9,9,6,1,0,4,1,18
