Kyrie,Irving,2015-03-12,CLE,SAS,False,2794.0,20,32,7,7,10,10,1,2,3,5,4,0,2,3,57
Rudy,Gobert,2015-03-12,UTA,HOU,True,2133.0,8,11,0,0,3,3,12,10,22,2,0,4,1,2,19
LeBron,James,2015-03-12,CLE,SAS,False,2623.0,10,20,3,6,8,10,0,5,5,7,2,1,3,2,31
Gordon,Hayward,2015-03-12,UTA,HOU,True,1885.0,10,17,3,4,6,10,0,4,4,7,1,1,3,2,29
Marcin,Gortat,2015-03-12,WAS,MEM,True,2380.0,10,16,0,0,2,4,2,7,9,2,3,3,0,2,22
John,Wall,2015-03-12,WAS,MEM,True,1795.0,8,11,1,2,4,5,0,7,7,6,1,2,2,1,21
Kawhi,Leonard,2015-03-12,SAS,CLE,True,2651.0,9,14,1,3,5,8,3,6,9,7,1,1,3,5,24
Michael,Carter-Williams,2015-03-12,MIL,IND,False,2400.0,8,20,0,3,12,15,0,8,8,4,4,0,3,1,28
Danny,Green,2015-03-12,SAS,CLE,True,2180.0,7,13,5,10,5,5,0,4,4,1,2,4,1,4,24
Tim,Duncan,2015-03-12,SAS,CLE,True,2542.0,7,11,0,0,4,5,3,8,11,8,1,4,3,5,18
Tony,Parker,2015-03-12,SAS,CLE,True,2574.0,15,23,0,1,1,3,0,5,5,6,1,0,4,3,31
Rodney,Stuckey,2015-03-12,IND,MIL,True,2218.0,8,17,1,4,8,10,0,6,6,6,1,0,3,1,25
Zaza,Pachulia,2015-03-12,MIL,IND,False,2031.0,5,11,0,0,6,6,8,4,12,3,2,0,2,5,16
Ersan,Ilyasova,2015-03-12,MIL,IND,False,2117.0,8,13,1,2,2,4,2,8,10,2,1,0,0,4,19
Corey,Brewer,2015-03-12,HOU,UTA,False,1935.0,10,15,1,4,4,5,0,5,5,0,1,0,3,2,25
Tim,Hardaway,2015-03-12,NYK,LAL,False,1876.0,8,14,5,7,1,1,0,3,3,2,0,0,1,1,22
Luis,Scola,2015-03-12,IND,MIL,True,2012.0,8,15,0,0,1,1,4,11,15,0,1,0,0,2,17
Paul,Pierce,2015-03-12,WAS,MEM,True,1414.0,6,7,3,4,2,2,0,0,0,1,1,0,0,1,17
