Russell,Westbrook,2015-02-02,OKC,ORL,True,2301.0,8,15,1,3,8,8,1,10,11,14,4,1,2,1,25
Anthony,Davis,2015-02-02,NOP,ATL,True,2036.0,12,23,0,0,5,7,8,5,13,3,1,2,2,2,29
Khris,Middleton,2015-02-02,MIL,TOR,False,2258.0,10,17,3,4,2,2,0,9,9,1,3,0,1,1,25
Eric,Bledsoe,2015-02-02,PHO,MEM,True,2278.0,9,16,1,3,2,4,2,5,7,8,4,2,3,4,21
Joe,Johnson,2015-02-02,BRK,LAC,True,2318.0,8,13,4,6,2,4,0,5,5,6,1,0,1,1,22
Tyreke,Evans,2015-02-02,NOP,ATL,True,1912.0,7,14,1,2,0,0,2,3,5,12,2,0,0,1,15
Robert,Covington,2015-02-02,PHI,CLE,False,2051.0,6,13,4,8,2,3,2,1,3,4,7,1,2,4,18
Eric,Gordon,2015-02-02,NOP,ATL,True,1701.0,7,11,4,6,2,2,0,3,3,7,0,1,1,4,20
DeAndre,Jordan,2015-02-02,LAC,BRK,False,2203.0,10,13,0,0,2,12,8,12,20,0,0,0,3,2,22
Thaddeus,Young,2015-02-02,MIN,DAL,False,2365.0,5,10,0,2,5,6,2,7,9,3,3,1,0,3,15
Victor,Oladipo,2015-02-02,ORL,OKC,False,2026.0,7,14,2,4,6,6,1,6,7,4,1,0,3,3,22
Dion,Waiters,2015-02-02,OKC,ORL,True,2452.0,9,15,2,4,4,6,1,3,4,1,1,0,2,2,24
Brook,Lopez,2015-02-02,BRK,LAC,True,2203.0,12,20,0,0,0,0,1,6,7,0,1,0,0,4,24
Chandler,Parsons,2015-02-02,DAL,MIN,True,2106.0,8,12,2,4,0,0,1,5,6,2,4,0,3,3,18
Chris,Paul,2015-02-02,LAC,BRK,False,2266.0,8,18,2,5,2,4,0,8,8,8,3,0,3,4,20
Jeff,Teague,2015-02-02,ATL,NOP,False,1753.0,8,17,1,2,4,5,0,2,2,7,1,0,1,3,21
Kyrie,Irving,2015-02-02,CLE,PHI,True,2339.0,9,16,3,8,3,4,1,4,5,5,0,0,5,1,24
Serge,Ibaka,2015-02-02,OKC,ORL,True,2213.0,6,12,2,5,2,2,1,7,8,1,2,3,1,3,16
Tyson,Chandler,2015-02-02,DAL,MIN,True,1872.0,2,2,0,0,2,2,5,5,10,5,0,3,0,2,6
Michael,Kidd-Gilchrist,2015-02-02,CHO,WAS,False,2200.0,4,6,0,0,5,10,2,11,13,3,1,0,0,3,13
Brian,Roberts,2015-02-02,CHO,WAS,False,2035.0,6,10,1,3,5,5,0,1,1,3,1,0,1,2,18
Jerami,Grant,2015-02-02,PHI,CLE,False,1560.0,5,7,3,5,5,7,3,4,7,2,0,0,3,3,18
Gerald,Henderson,2015-02-02,CHO,WAS,False,2003.0,6,13,1,2,4,4,1,1,2,5,1,0,1,0,17
Al,Jefferson,2015-02-02,CHO,WAS,False,1884.0,9,19,0,0,0,0,2,10,12,1,2,0,0,2,18
Mo,Williams,2015-02-02,MIN,DAL,False,1598.0,3,7,2,6,7,7,0,3,3,5,1,0,1,4,15
Marc,Gasol,2015-02-02,MEM,PHO,False,2067.0,4,11,0,0,7,8,0,6,6,8,0,3,3,3,15
Dirk,Nowitzki,2015-02-02,DAL,MIN,True,1836.0,7,10,2,3,0,1,0,7,7,2,1,1,2,2,16
Mike,Conley,2015-02-02,MEM,PHO,False,1692.0,9,15,1,5,4,5,0,1,1,1,2,0,3,5,23
Zach,Randolph,2015-02-02,MEM,PHO,False,1912.0,6,15,0,0,7,8,3,6,9,1,1,0,2,2,19
Jonas,Valanciunas,2015-02-02,TOR,MIL,True,1519.0,6,9,0,0,0,0,6,7,13,0,0,1,1,2,12
Kris,Humphries,2015-02-02,WAS,CHO,True,1532.0,4,8,0,0,5,6,3,2,5,1,1,0,0,0,13
Bradley,Beal,2015-02-02,WAS,CHO,True,2337.0,7,16,2,4,2,2,0,11,11,1,1,0,1,2,18
Kyle,O'Quinn,2015-02-02,ORL,OKC,False,1372.0,5,10,0,2,1,3,3,5,8,2,3,1,0,3,11
Al,Horford,2015-02-02,ATL,NOP,False,1805.0,4,9,0,1,0,0,5,4,9,4,3,0,1,1,8
John,Henson,2015-02-02,MIL,TOR,False,1743.0,5,8,0,0,2,2,0,4,4,1,2,2,1,1,12
Nikola,Vucevic,2015-02-02,ORL,OKC,False,1693.0,9,16,0,0,2,2,4,2,6,1,0,0,2,6,20
Giannis,Antetokounmpo,2015-02-02,MIL,TOR,False,2091.0,4,9,0,1,4,8,2,10,12,3,0,2,0,4,12
LeBron,James,2015-02-02,CLE,PHI,True,2151.0,6,17,1,4,5,6,0,3,3,11,2,0,6,2,18
Kevin,Martin,2015-02-02,MIN,DAL,False,2325.0,8,17,1,3,2,2,0,4,4,1,2,0,2,1,19
Anthony,Morrow,2015-02-02,OKC,ORL,True,1515.0,4,6,3,3,4,4,1,0,1,1,0,0,2,0,15
Willie,Green,2015-02-02,ORL,OKC,False,1629.0,4,7,3,5,2,2,0,3,3,3,1,0,2,0,13
Isaiah,Thomas,2015-02-02,PHO,MEM,True,1410.0,8,19,2,7,6,6,0,3,3,2,0,0,3,4,24
Omer,Asik,2015-02-02,NOP,ATL,True,1969.0,2,6,0,0,5,6,3,14,17,1,0,1,1,1,9
Patrick,Patterson,2015-02-02,TOR,MIL,True,1854.0,3,8,1,4,2,2,4,7,11,2,2,0,1,1,9
Brandan,Wright,2015-02-02,PHO,MEM,True,1345.0,5,6,0,0,1,1,1,5,6,0,0,1,0,1,11
