Lou,Williams,2015-01-10,TOR,BOS,True,1812.0,6,16,3,9,4,0,2,2,3,2,0,2,1,19
Amir,Johnson,2015-01-10,TOR,BOS,True,1648.0,6,10,1,1,2,2,2,4,0,1,2,2,5,15
Trevor,Ariza,2015-01-10,HOU,UTA,True,1665.0,3,9,2,5,2,1,2,3,3,5,0,2,2,10
Avery,Bradley,2015-01-10,BOS,TOR,False,2027.0,6,15,2,5,3,0,1,1,2,2,0,1,2,17
J.J.,Redick,2015-01-10,LAC,DAL,True,1686.0,5,13,4,8,2,0,4,4,1,1,0,1,1,16
Mason,Plumlee,2015-01-10,BRK,DET,False,1527.0,7,10,0,0,0,1,4,5,0,1,1,2,3,14
Jared,Sullinger,2015-01-10,BOS,TOR,False,1679.0,6,13,1,4,0,1,9,10,2,1,0,1,3,13
Khris,Middleton,2015-01-10,MIL,CHI,False,2054.0,5,10,1,2,0,2,3,5,1,2,0,0,3,11
Andrew,Wiggins,2015-01-10,MIN,SAS,True,2219.0,5,11,0,0,8,0,3,3,2,0,0,4,2,18
Henry,Sims,2015-01-10,PHI,IND,True,1130.0,3,7,0,0,5,4,5,9,1,0,0,1,3,11
Marvin,Williams,2015-01-10,CHO,NYK,False,1301.0,3,6,0,0,0,0,5,5,2,4,1,1,0,6
Jerryd,Bayless,2015-01-10,MIL,CHI,False,1526.0,3,6,0,1,2,2,3,5,1,2,0,0,2,8
Michael,Carter-Williams,2015-01-10,PHI,IND,True,2096.0,6,17,1,4,2,0,5,5,9,0,1,4,2,15
Tim,Hardaway,2015-01-10,NYK,CHO,True,1601.0,6,13,1,7,2,0,0,0,3,0,0,0,3,15
Michael,Kidd-Gilchrist,2015-01-10,CHO,NYK,False,1523.0,4,6,0,0,2,0,9,9,1,0,0,0,0,10
Devyn,Marble,2015-01-10,ORL,POR,False,1486.0,3,6,0,2,0,0,3,3,2,5,0,0,3,6
Patrick,Beverley,2015-01-10,HOU,UTA,True,1745.0,3,13,2,7,2,2,2,4,7,2,0,1,3,10
Meyers,Leonard,2015-01-10,POR,ORL,True,1218.0,4,7,1,3,2,0,6,6,1,0,0,1,2,11
Victor,Oladipo,2015-01-10,ORL,POR,False,2261.0,6,21,0,6,6,3,5,8,4,1,0,4,0,18
Kyle,Singler,2015-01-10,DET,BRK,True,1700.0,4,9,3,4,0,0,2,2,2,0,1,0,1,11
Danny,Green,2015-01-10,SAS,MIN,False,1796.0,2,6,1,4,2,0,5,5,4,1,0,0,2,7
Robert,Covington,2015-01-10,PHI,IND,True,1585.0,6,13,4,8,0,0,2,2,0,0,0,0,4,16
Spencer,Hawes,2015-01-10,LAC,DAL,True,1320.0,2,6,1,3,1,0,5,5,2,1,3,0,1,6
Marcus,Smart,2015-01-10,BOS,TOR,False,1744.0,5,7,1,3,1,1,2,3,2,1,0,3,3,12
Roy,Hibbert,2015-01-10,IND,PHI,False,1167.0,3,8,0,0,1,7,6,13,0,0,2,1,5,7
Solomon,Hill,2015-01-10,IND,PHI,False,2164.0,2,11,0,3,8,2,4,6,2,2,0,3,0,12
JaKarr,Sampson,2015-01-10,PHI,IND,True,1127.0,4,4,1,1,0,0,1,1,0,0,0,0,1,9
Rodney,Stuckey,2015-01-10,IND,PHI,False,2098.0,4,8,1,3,4,0,9,9,2,0,0,3,3,13
Jason,Maxiell,2015-01-10,CHO,NYK,False,1629.0,2,6,0,0,3,2,1,3,1,1,2,0,2,7
Nicolas,Batum,2015-01-10,POR,ORL,True,2128.0,3,9,1,4,0,1,9,10,4,0,4,3,1,7
Kentavious,Caldwell-Pope,2015-01-10,DET,BRK,True,1436.0,2,5,1,4,1,1,3,4,4,4,0,3,2,6
K.J.,McDaniels,2015-01-10,PHI,IND,True,1956.0,3,7,1,3,3,1,2,3,1,0,2,1,2,10
Brandon,Bass,2015-01-10,BOS,TOR,False,1150.0,5,10,0,0,0,2,4,6,4,1,0,2,4,10
Darius,Morris,2015-01-10,BRK,DET,False,1146.0,4,10,2,5,0,0,2,2,3,1,0,1,0,10
Josh,Smith,2015-01-10,HOU,UTA,True,1233.0,4,10,0,1,2,0,3,3,2,0,1,0,1,10
Trey,Burke,2015-01-10,UTA,HOU,False,2120.0,6,14,1,4,3,1,4,5,3,0,0,4,4,16
Dwight,Powell,2015-01-10,DAL,LAC,False,285.0,2,2,2,2,2,0,0,0,0,0,0,0,1,8
