Draymond,Green,2015-02-07,GSW,NYK,False,2035.0,8,12,3,5,1,3,10,13,3,1,2,2,1,20
Gordon,Hayward,2015-02-07,UTA,SAC,True,2230.0,13,23,3,8,1,1,1,2,3,2,0,2,1,30
Pau,Gasol,2015-02-07,CHI,NOP,False,1654.0,9,14,1,1,1,4,11,15,4,0,3,3,0,20
Damian,Lillard,2015-02-07,POR,DAL,False,2541.0,7,19,4,10,8,2,5,7,7,4,2,5,5,26
Brandon,Knight,2015-02-07,MIL,BOS,True,2265.0,9,17,4,8,4,0,4,4,5,0,1,2,0,26
Chandler,Parsons,2015-02-07,DAL,POR,True,2395.0,7,16,2,5,4,4,5,9,4,3,0,0,4,20
Derrick,Favors,2015-02-07,UTA,SAC,True,1959.0,9,17,0,0,2,3,6,9,5,0,3,2,5,20
Wesley,Matthews,2015-02-07,POR,DAL,False,2386.0,7,14,3,8,0,3,5,8,3,4,0,1,3,17
LaMarcus,Aldridge,2015-02-07,POR,DAL,False,2492.0,11,22,0,1,3,3,11,14,1,0,0,3,0,25
Dirk,Nowitzki,2015-02-07,DAL,POR,True,2098.0,11,19,3,6,0,1,2,3,1,0,0,1,2,25
Robert,Covington,2015-02-07,PHI,CHO,True,1975.0,7,15,5,10,3,2,6,8,2,1,1,2,4,22
Jared,Sullinger,2015-02-07,BOS,MIL,False,1834.0,8,14,0,3,1,2,5,7,2,2,1,0,2,17
Tony,Snell,2015-02-07,CHI,NOP,False,1733.0,7,10,5,6,0,0,5,5,0,0,0,0,1,19
Jimmy,Butler,2015-02-07,CHI,NOP,False,2023.0,6,14,0,2,6,2,2,4,5,1,0,1,1,18
Jason,Smith,2015-02-07,NYK,GSW,True,2021.0,4,8,0,0,6,1,12,13,3,0,0,1,0,14
Rasual,Butler,2015-02-07,WAS,BRK,True,1376.0,6,11,3,6,0,0,2,2,4,2,0,0,0,15
Giannis,Antetokounmpo,2015-02-07,MIL,BOS,True,2224.0,6,10,0,0,2,3,8,11,5,1,2,3,3,14
David,Lee,2015-02-07,GSW,NYK,False,1344.0,2,3,0,0,6,2,8,10,5,0,0,0,3,10
Gerald,Henderson,2015-02-07,CHO,PHI,False,2250.0,5,17,2,3,5,0,5,5,9,1,0,0,2,17
