Anthony,Davis,2015-03-15,NOP,DEN,True,2991.0,16,28,0,1,4,6,2,12,14,7,1,9,2,1,36
James,Harden,2015-03-15,HOU,LAC,False,2438.0,7,16,3,5,17,18,0,7,7,7,0,0,3,3,34
LeBron,James,2015-03-15,CLE,ORL,False,2084.0,9,14,0,3,3,4,1,7,8,13,3,1,1,3,21
Kyrie,Irving,2015-03-15,CLE,ORL,False,2076.0,12,15,5,6,4,6,0,4,4,4,1,0,5,3,33
Russell,Westbrook,2015-03-15,OKC,CHI,True,2445.0,12,27,2,6,10,13,1,10,11,6,1,0,4,1,36
Will,Barton,2015-03-15,DEN,NOP,False,2819.0,10,16,3,6,2,2,0,9,9,3,3,1,1,3,25
LaMarcus,Aldridge,2015-03-15,POR,TOR,False,2071.0,9,14,0,1,6,8,0,10,10,5,0,0,0,0,24
Eric,Bledsoe,2015-03-15,PHO,NYK,True,2222.0,8,15,1,3,4,6,0,9,9,11,2,0,3,2,21
Ty,Lawson,2015-03-15,DEN,NOP,False,2851.0,9,18,1,5,0,0,3,2,5,9,3,0,1,0,19
Brandan,Wright,2015-03-15,PHO,NYK,True,2232.0,7,8,0,0,4,5,3,8,11,1,1,0,0,1,18
J.R.,Smith,2015-03-15,CLE,ORL,False,2013.0,7,14,6,11,5,6,0,4,4,3,2,1,2,3,25
Nikola,Vucevic,2015-03-15,ORL,CLE,True,1987.0,11,21,0,0,0,1,9,6,15,3,0,1,1,2,22
Dennis,Schroder,2015-03-15,ATL,LAL,False,2251.0,7,16,1,5,9,11,1,2,3,10,1,0,3,2,24
Tobias,Harris,2015-03-15,ORL,CLE,True,2768.0,9,15,3,6,3,4,1,7,8,1,1,0,1,1,24
Nikola,Mirotic,2015-03-15,CHI,OKC,False,1781.0,8,18,2,8,9,9,2,2,4,1,2,1,2,4,27
Nicolas,Batum,2015-03-15,POR,TOR,False,2033.0,3,5,2,2,2,2,2,2,4,12,3,0,1,2,10
Tyreke,Evans,2015-03-15,NOP,DEN,True,2585.0,11,20,1,3,2,4,1,8,9,10,0,2,6,2,25
Al,Horford,2015-03-15,ATL,LAL,False,2120.0,10,21,0,1,1,3,1,4,5,3,5,1,1,1,21
Victor,Oladipo,2015-03-15,ORL,CLE,True,2458.0,8,21,3,4,6,10,0,1,1,7,2,0,1,1,25
Joakim,Noah,2015-03-15,CHI,OKC,False,1871.0,6,7,0,0,3,5,1,2,3,7,1,0,1,2,15
Pau,Gasol,2015-03-15,CHI,OKC,False,2108.0,9,17,1,1,1,2,4,4,8,1,1,2,1,2,20
Kawhi,Leonard,2015-03-15,SAS,MIN,True,1518.0,6,13,2,2,1,1,1,5,6,1,5,1,0,1,15
Damian,Lillard,2015-03-15,POR,TOR,False,2115.0,10,20,2,8,1,2,0,4,4,5,2,0,3,2,23
DeMar,DeRozan,2015-03-15,TOR,POR,True,2093.0,9,18,0,1,4,5,1,7,8,2,1,0,2,1,22
Jonas,Valanciunas,2015-03-15,TOR,POR,True,1328.0,7,7,0,0,0,0,3,6,9,1,0,1,1,2,14
Tim,Duncan,2015-03-15,SAS,MIN,True,1345.0,4,6,0,0,2,2,0,6,6,6,1,3,1,1,10
Enes,Kanter,2015-03-15,OKC,CHI,True,2221.0,7,16,0,0,4,4,9,9,18,0,2,0,4,4,18
