Anthony,Davis,2014-11-17 22:30:00-05:00,NOP,POR,False,2267.0,14,20,0,2,3,4,4,7,11,3,3,3,0,3,31
Markieff,Morris,2014-11-17 22:30:00-05:00,PHO,BOS,False,2357.0,14,21,1,3,1,1,0,7,7,5,4,0,1,3,30
Tobias,Harris,2014-11-17 22:30:00-05:00,ORL,DET,False,2281.0,10,17,3,6,1,2,1,4,5,4,5,1,0,4,24
Jeff,Green,2014-11-17 22:30:00-05:00,BOS,PHO,True,2139.0,10,17,0,4,8,9,0,2,2,1,3,2,2,2,28
Nikola,Vucevic,2014-11-17 22:30:00-05:00,ORL,DET,False,2265.0,10,18,0,0,5,5,3,11,14,3,0,0,1,2,25
Tyler,Zeller,2014-11-17 22:30:00-05:00,BOS,PHO,True,1636.0,8,9,0,0,3,4,3,4,7,3,1,1,1,1,19
Mike,Conley,2014-11-17 22:30:00-05:00,MEM,HOU,True,1403.0,6,10,1,3,6,6,1,1,2,6,2,0,1,1,19
Taj,Gibson,2014-11-17 22:30:00-05:00,CHI,LAC,False,2473.0,9,13,0,0,2,4,1,4,5,6,1,2,0,5,20
Ty,Lawson,2014-11-17 22:30:00-05:00,DEN,CLE,False,2254.0,9,18,0,6,6,7,0,1,1,12,2,0,5,1,24
Goran,Dragic,2014-11-17 22:30:00-05:00,PHO,BOS,False,1949.0,9,15,3,6,1,1,0,6,6,7,2,0,3,3,22
LaMarcus,Aldridge,2014-11-17 22:30:00-05:00,POR,NOP,True,2194.0,9,18,0,0,4,4,2,7,9,2,1,0,0,0,22
Chandler,Parsons,2014-11-17 22:30:00-05:00,DAL,CHO,False,1886.0,5,10,4,9,3,4,0,9,9,6,1,0,0,2,17
Jimmy,Butler,2014-11-17 22:30:00-05:00,CHI,LAC,False,2717.0,6,17,1,4,9,10,2,4,6,8,2,0,3,2,22
Kyrie,Irving,2014-11-17 22:30:00-05:00,CLE,DEN,True,2358.0,5,12,4,6,6,6,1,3,4,8,2,0,4,1,20
Damian,Lillard,2014-11-17 22:30:00-05:00,POR,NOP,True,2126.0,7,18,2,7,8,8,1,3,4,7,2,0,4,2,24
Bojan,Bogdanovic,2014-11-17 22:30:00-05:00,BRK,MIA,True,2485.0,8,11,4,5,2,2,2,1,3,1,1,0,2,3,22
Darrell,Arthur,2014-11-17 22:30:00-05:00,DEN,CLE,False,1582.0,5,6,3,4,0,0,3,8,11,2,2,0,0,3,13
Caron,Butler,2014-11-17 22:30:00-05:00,DET,ORL,True,1591.0,5,11,3,5,7,7,1,5,6,1,0,0,0,0,20
Tyson,Chandler,2014-11-17 22:30:00-05:00,DAL,CHO,False,1400.0,7,7,0,0,0,0,2,7,9,3,0,0,0,1,14
Mario,Chalmers,2014-11-17 22:30:00-05:00,MIA,BRK,False,2012.0,5,12,1,5,11,13,0,3,3,5,2,0,3,4,22
Jamal,Crawford,2014-11-17 22:30:00-05:00,LAC,CHI,True,1638.0,10,17,1,5,3,5,0,2,2,5,1,0,2,5,24
DeAndre,Jordan,2014-11-17 22:30:00-05:00,LAC,CHI,True,2161.0,5,6,0,0,0,2,5,12,17,0,0,3,0,0,10
Matt,Bonner,2014-11-17 22:30:00-05:00,SAS,PHI,True,1216.0,7,10,4,6,0,0,0,1,1,3,0,0,0,1,18
Brandon,Jennings,2014-11-17 22:30:00-05:00,DET,ORL,True,1922.0,6,13,5,7,1,2,0,3,3,6,3,0,3,1,18
Alex,Len,2014-11-17 22:30:00-05:00,PHO,BOS,False,1724.0,8,10,0,0,3,3,3,4,7,0,1,0,3,3,19
Kevin,Love,2014-11-17 22:30:00-05:00,CLE,DEN,True,2276.0,7,13,1,5,5,6,3,8,11,1,0,0,2,3,20
Jameer,Nelson,2014-11-17 22:30:00-05:00,DAL,CHO,False,1495.0,4,6,3,4,0,0,1,1,2,8,2,0,1,2,11
Courtney,Lee,2014-11-17 22:30:00-05:00,MEM,HOU,True,1807.0,6,7,3,4,0,0,0,3,3,2,1,0,1,0,15
Mike,Dunleavy,2014-11-17 22:30:00-05:00,CHI,LAC,False,2114.0,6,10,4,7,3,5,1,6,7,0,0,0,1,1,19
Eric,Bledsoe,2014-11-17 22:30:00-05:00,PHO,BOS,False,1811.0,5,11,0,0,5,6,0,4,4,7,3,0,3,1,15
LeBron,James,2014-11-17 22:30:00-05:00,CLE,DEN,True,2434.0,8,18,1,4,5,7,0,9,9,5,0,2,4,2,22
Kosta,Koufos,2014-11-17 22:30:00-05:00,MEM,HOU,True,1044.0,5,6,0,0,0,0,1,5,6,1,3,3,0,3,10
Joakim,Noah,2014-11-17 22:30:00-05:00,CHI,LAC,False,2182.0,5,8,0,0,1,2,3,13,16,6,0,0,1,4,11
Arron,Afflalo,2014-11-17 22:30:00-05:00,DEN,CLE,False,2421.0,8,17,4,8,3,4,0,4,4,3,0,1,3,1,23
Dion,Waiters,2014-11-17 22:30:00-05:00,CLE,DEN,True,1682.0,9,16,2,6,0,0,0,2,2,1,2,0,1,2,20
Gerald,Henderson,2014-11-17 22:30:00-05:00,CHO,DAL,True,2240.0,8,14,1,2,1,1,1,4,5,3,0,0,1,2,18
Deron,Williams,2014-11-17 22:30:00-05:00,BRK,MIA,True,2084.0,4,13,2,8,4,5,1,4,5,7,4,1,3,4,14
Marcus,Morris,2014-11-17 22:30:00-05:00,PHO,BOS,False,1891.0,5,8,3,5,0,2,1,4,5,7,1,0,2,4,13
Jared,Sullinger,2014-11-17 22:30:00-05:00,BOS,PHO,True,1609.0,7,17,1,2,3,4,4,4,8,3,1,0,2,2,18
Cory,Joseph,2014-11-17 22:30:00-05:00,SAS,PHI,True,1580.0,3,8,1,4,7,9,1,4,5,2,1,0,1,0,14
Timofey,Mozgov,2014-11-17 22:30:00-05:00,DEN,CLE,False,2390.0,6,9,0,0,2,2,3,8,11,0,1,1,3,3,14
Jarrett,Jack,2014-11-17 22:30:00-05:00,BRK,MIA,True,1419.0,5,9,1,1,4,4,0,0,0,4,1,0,1,4,15
Chris,Bosh,2014-11-17 22:30:00-05:00,MIA,BRK,False,1722.0,5,11,1,2,4,4,2,7,9,1,1,0,1,5,15
Jon,Leuer,2014-11-17 22:30:00-05:00,MEM,HOU,True,1260.0,5,8,0,0,3,4,2,2,4,2,0,0,1,0,13
Zach,Randolph,2014-11-17 22:30:00-05:00,MEM,HOU,True,1558.0,4,11,0,0,6,6,2,5,7,1,2,0,1,3,14
Aron,Baynes,2014-11-17 22:30:00-05:00,SAS,PHI,True,1156.0,5,8,0,0,2,2,1,8,9,0,0,1,0,3,12
Chris,Kaman,2014-11-17 22:30:00-05:00,POR,NOP,True,1246.0,7,10,0,0,1,1,2,8,10,0,1,0,3,4,15
Chris,Paul,2014-11-17 22:30:00-05:00,LAC,CHI,True,2225.0,5,11,1,1,1,2,0,1,1,7,1,1,1,2,12
Trevor,Ariza,2014-11-17 22:30:00-05:00,HOU,MEM,False,1941.0,4,13,1,7,7,7,1,2,3,4,1,0,2,2,16
Michael,Carter-Williams,2014-11-17 22:30:00-05:00,PHI,SAS,False,1775.0,7,14,1,5,1,3,0,5,5,4,2,0,3,2,16
James,Ennis,2014-11-17 22:30:00-05:00,MIA,BRK,False,2144.0,4,7,0,2,2,2,1,7,8,2,1,0,0,3,10
Patrick,Beverley,2014-11-17 22:30:00-05:00,HOU,MEM,False,1343.0,4,5,2,3,0,0,0,2,2,3,1,0,0,3,10
Blake,Griffin,2014-11-17 22:30:00-05:00,LAC,CHI,True,2199.0,7,15,0,1,5,10,4,6,10,4,0,0,5,3,19
J.J.,Barea,2014-11-17 22:30:00-05:00,DAL,CHO,False,1132.0,4,6,0,1,0,0,1,1,2,7,0,0,1,0,8
Rajon,Rondo,2014-11-17 22:30:00-05:00,BOS,PHO,True,1980.0,6,10,0,0,2,10,0,10,10,9,1,0,5,3,14
Kirk,Hinrich,2014-11-17 22:30:00-05:00,CHI,LAC,False,2019.0,5,12,4,6,0,0,1,1,2,5,3,0,3,5,14
Avery,Bradley,2014-11-17 22:30:00-05:00,BOS,PHO,True,1963.0,7,13,2,3,0,0,0,1,1,2,1,0,2,1,16
Channing,Frye,2014-11-17 22:30:00-05:00,ORL,DET,False,1840.0,4,6,4,6,0,0,0,5,5,3,0,0,1,5,12
Danny,Green,2014-11-17 22:30:00-05:00,SAS,PHI,True,1696.0,4,9,3,8,0,0,0,2,2,4,1,3,2,2,11
Evan,Fournier,2014-11-17 22:30:00-05:00,ORL,DET,False,1883.0,5,13,3,6,1,2,0,2,2,8,1,0,4,0,14
