LaMarcus,Aldridge,2015-01-30,POR,ATL,False,2272.0,15,24,2,3,5,1,10,11,2,2,1,1,4,37
Brook,Lopez,2015-01-30,BRK,TOR,True,2468.0,15,28,0,0,5,8,4,12,0,3,3,1,4,35
Jarrett,Jack,2015-01-30,BRK,TOR,True,3133.0,13,30,1,7,8,0,8,8,13,1,0,2,3,35
Stephen,Curry,2015-01-30,GSW,UTA,False,2039.0,10,22,5,11,7,1,6,7,6,3,0,2,1,32
Gordon,Hayward,2015-01-30,UTA,GSW,True,2302.0,9,20,1,3,7,5,10,15,6,3,0,3,3,26
DeMar,DeRozan,2015-01-30,TOR,BRK,False,2452.0,9,17,0,1,8,0,4,4,9,1,0,1,3,26
Chris,Paul,2015-01-30,LAC,NOP,False,2294.0,10,20,3,9,1,0,8,8,7,3,0,1,2,24
Nerlens,Noel,2015-01-30,PHI,MIN,True,1854.0,7,8,0,0,0,3,3,6,3,4,6,1,4,14
Eric,Gordon,2015-01-30,NOP,LAC,True,2300.0,10,20,5,7,3,0,2,2,7,1,0,3,0,28
DeMarcus,Cousins,2015-01-30,SAC,CLE,False,2134.0,5,17,0,0,11,4,9,13,4,5,1,3,2,21
Amir,Johnson,2015-01-30,TOR,BRK,False,2074.0,10,11,0,0,4,4,3,7,0,0,0,2,5,24
Donatas,Motiejunas,2015-01-30,HOU,BOS,False,1882.0,11,16,3,5,1,4,8,12,1,0,0,4,1,26
Eric,Bledsoe,2015-01-30,PHO,CHI,True,2211.0,8,16,2,3,5,1,3,4,6,3,0,4,1,23
Hassan,Whiteside,2015-01-30,MIA,DAL,True,1710.0,7,11,0,0,2,10,14,24,0,1,1,3,3,16
Lou,Williams,2015-01-30,TOR,BRK,False,1763.0,6,12,3,7,10,0,4,4,3,0,0,1,4,25
Ryan,Anderson,2015-01-30,NOP,LAC,True,2169.0,6,17,5,11,7,4,5,9,1,1,0,0,4,24
Nikola,Pekovic,2015-01-30,MIN,PHI,False,1873.0,6,9,0,0,6,3,4,7,2,1,1,1,1,18
Al,Horford,2015-01-30,ATL,POR,True,2036.0,8,15,1,1,0,2,6,8,4,3,2,1,2,17
Paul,Millsap,2015-01-30,ATL,POR,True,2130.0,6,14,2,5,7,0,8,8,2,3,0,1,2,21
Aaron,Brooks,2015-01-30,CHI,PHO,False,1925.0,8,13,3,5,2,0,2,2,2,2,0,0,4,21
Kevin,Love,2015-01-30,CLE,SAC,True,1744.0,9,17,2,5,3,1,9,10,3,0,0,2,2,23
Jonas,Valanciunas,2015-01-30,TOR,BRK,False,1971.0,7,7,0,0,0,3,8,11,0,0,2,0,1,14
Blake,Griffin,2015-01-30,LAC,NOP,False,2249.0,7,14,0,0,5,2,2,4,6,1,0,0,4,19
