Stephen,Curry,2015-02-20,GSW,SAS,True,1913.0,8,17,4,8,5,0,4,4,11,4,0,2,2,25
Avery,Bradley,2015-02-20,BOS,SAC,False,2451.0,12,22,1,4,3,1,2,3,6,4,1,0,3,28
Rodney,Stuckey,2015-02-20,IND,PHI,False,1610.0,10,16,2,4,8,0,2,2,4,3,0,2,3,30
Lou,Williams,2015-02-20,TOR,ATL,False,1459.0,9,14,7,10,1,0,4,4,2,4,1,1,1,26
Jimmy,Butler,2015-02-20,CHI,DET,False,2332.0,9,18,3,5,9,1,4,5,5,0,0,2,1,30
Rudy,Gay,2015-02-20,SAC,BOS,True,2263.0,9,18,2,5,8,2,3,5,4,1,3,3,1,28
Markieff,Morris,2015-02-20,PHO,MIN,False,2217.0,12,21,1,2,6,2,2,4,2,1,2,2,2,31
Kevin,Martin,2015-02-20,MIN,PHO,True,2112.0,10,16,1,6,7,1,5,6,2,1,0,1,0,28
DeMarcus,Cousins,2015-02-20,SAC,BOS,True,2134.0,12,18,0,0,7,3,12,15,3,2,1,9,3,31
Caron,Butler,2015-02-20,DET,CHI,True,1939.0,6,10,2,5,6,0,4,4,3,4,0,0,3,20
LeBron,James,2015-02-20,CLE,WAS,False,1507.0,12,21,3,5,1,0,5,5,6,1,0,2,3,28
Ed,Davis,2015-02-20,LAL,BRK,True,1696.0,8,10,0,0,0,3,11,14,3,2,1,0,3,16
Nerlens,Noel,2015-02-20,PHI,IND,True,1994.0,5,9,0,0,2,5,4,9,0,4,9,1,3,12
Tyler,Zeller,2015-02-20,BOS,SAC,False,1853.0,9,16,0,0,4,4,0,4,6,0,1,1,5,22
Al-Farouq,Aminu,2015-02-20,DAL,HOU,True,1792.0,6,11,1,4,4,5,7,12,1,0,2,0,3,17
James,Harden,2015-02-20,HOU,DAL,False,2240.0,6,14,3,5,11,1,6,7,5,2,0,6,5,26
Mario,Chalmers,2015-02-20,MIA,NYK,False,2210.0,4,14,1,7,4,0,6,6,7,8,0,1,1,13
Kyrie,Irving,2015-02-20,CLE,WAS,False,1850.0,9,18,1,4,6,0,2,2,7,0,0,4,0,25
Alan,Anderson,2015-02-20,BRK,LAL,False,1975.0,4,6,3,4,3,0,4,4,6,1,0,0,1,14
Gordon,Hayward,2015-02-20,UTA,POR,True,1814.0,7,13,2,6,4,0,4,4,3,3,0,2,2,20
John,Wall,2015-02-20,WAS,CLE,True,1943.0,8,16,0,2,2,2,3,5,9,1,2,4,2,18
Joe,Johnson,2015-02-20,BRK,LAL,False,2036.0,6,11,5,7,6,0,6,6,0,0,0,2,3,23
DeMar,DeRozan,2015-02-20,TOR,ATL,False,1660.0,9,16,1,4,2,0,8,8,1,3,0,3,2,21
Jusuf,Nurkic,2015-02-20,DEN,MIL,False,1997.0,5,9,0,0,1,6,9,15,2,2,3,1,4,11
Brook,Lopez,2015-02-20,BRK,LAL,False,1965.0,8,19,0,0,6,7,7,14,0,0,1,2,4,22
Elfrid,Payton,2015-02-20,ORL,NOP,True,1933.0,4,7,0,0,2,2,5,7,11,0,0,0,3,10
Andrew,Wiggins,2015-02-20,MIN,PHO,True,2247.0,9,15,0,1,2,2,0,2,2,1,1,2,2,20
Gorgui,Dieng,2015-02-20,MIN,PHO,True,2262.0,6,8,0,0,3,4,8,12,1,0,2,2,3,15
J.R.,Smith,2015-02-20,CLE,WAS,False,1713.0,6,12,3,8,0,1,4,5,3,2,1,0,3,15
Nene,Hilario,2015-02-20,WAS,CLE,True,1515.0,8,11,0,0,2,1,2,3,2,0,0,1,2,18
Spencer,Dinwiddie,2015-02-20,DET,CHI,True,1842.0,5,9,1,2,1,0,3,3,9,3,0,2,3,12
Victor,Oladipo,2015-02-20,ORL,NOP,True,1886.0,11,18,0,4,0,0,2,2,2,1,1,2,3,22
Luis,Scola,2015-02-20,IND,PHI,False,1386.0,6,10,1,1,3,1,6,7,1,3,0,1,4,16
Harrison,Barnes,2015-02-20,GSW,SAS,True,1687.0,7,11,2,4,0,2,3,5,0,1,0,0,1,16
Tim,Hardaway,2015-02-20,NYK,MIA,True,1797.0,6,9,3,5,2,0,3,3,4,2,0,4,2,17
Luc,Mbah,2015-02-20,PHI,IND,True,1896.0,6,12,2,5,2,3,7,10,3,0,0,2,0,16
Langston,Galloway,2015-02-20,NYK,MIA,True,2191.0,7,14,3,5,2,1,2,3,4,2,1,3,3,19
John,Henson,2015-02-20,MIL,DEN,True,1073.0,6,8,0,0,2,2,2,4,0,1,4,2,2,14
C.J.,Miles,2015-02-20,IND,PHI,False,1494.0,6,12,2,7,3,0,3,3,1,2,0,0,2,17
Luol,Deng,2015-02-20,MIA,NYK,False,2041.0,3,9,0,1,7,4,4,8,8,2,0,5,1,13
Bojan,Bogdanovic,2015-02-20,BRK,LAL,False,2244.0,7,13,2,7,2,0,4,4,3,0,0,1,1,18
Deron,Williams,2015-02-20,BRK,LAL,False,2382.0,6,14,0,2,0,0,4,4,15,2,1,5,1,12
Jeremy,Lin,2015-02-20,LAL,BRK,True,1451.0,6,9,1,4,5,0,1,1,2,1,0,1,3,18
Derrick,Favors,2015-02-20,UTA,POR,True,2162.0,7,15,0,0,2,4,5,9,2,2,1,1,2,16
Jerami,Grant,2015-02-20,PHI,IND,True,1665.0,5,11,1,4,5,2,3,5,3,1,0,0,1,16
Greg,Monroe,2015-02-20,DET,CHI,True,2193.0,9,14,0,0,2,0,6,6,1,2,1,3,4,20
Jordan,Clarkson,2015-02-20,LAL,BRK,True,1429.0,5,8,1,3,1,1,3,4,5,0,0,0,1,12
Iman,Shumpert,2015-02-20,CLE,WAS,False,1319.0,4,8,3,6,1,1,3,4,2,3,1,0,3,12
Shabazz,Napier,2015-02-20,MIA,NYK,False,2015.0,6,11,4,5,2,0,7,7,6,1,0,7,0,18
Marcus,Smart,2015-02-20,BOS,SAC,False,2141.0,5,15,2,9,4,1,4,5,2,5,0,0,2,16
Charlie,Villanueva,2015-02-20,DAL,HOU,True,830.0,4,5,3,3,2,0,4,4,1,1,0,1,0,13
Nikola,Vucevic,2015-02-20,ORL,NOP,True,2211.0,9,19,0,0,0,5,8,13,1,1,1,2,4,18
Wesley,Matthews,2015-02-20,POR,UTA,False,1913.0,4,9,1,5,4,0,7,7,2,1,0,0,0,13
Devin,Harris,2015-02-20,DAL,HOU,True,1777.0,7,18,3,9,0,0,6,6,7,2,0,2,3,17
Robert,Sacre,2015-02-20,LAL,BRK,True,1184.0,5,9,0,0,3,4,3,7,2,1,1,2,1,13
Terrence,Jones,2015-02-20,HOU,DAL,False,1774.0,3,7,0,0,3,3,6,9,2,1,4,1,1,9
Chandler,Parsons,2015-02-20,DAL,HOU,True,1767.0,4,9,1,3,4,1,3,4,3,2,0,1,1,13
Ricky,Rubio,2015-02-20,MIN,PHO,True,2229.0,2,10,1,3,5,0,8,8,14,2,0,3,5,10
Brandon,Bass,2015-02-20,BOS,SAC,False,2229.0,5,10,1,1,2,4,6,10,2,1,1,2,3,13
Jerryd,Bayless,2015-02-20,MIL,DEN,True,2314.0,5,11,1,3,0,0,7,7,8,1,1,1,3,11
Udonis,Haslem,2015-02-20,MIA,NYK,False,1672.0,5,6,1,1,2,0,5,5,2,0,1,0,2,13
Alex,Len,2015-02-20,PHO,MIN,False,2103.0,4,10,0,0,3,5,5,10,0,0,6,2,2,11
Andre,Drummond,2015-02-20,DET,CHI,True,2336.0,7,18,0,0,4,9,11,20,1,1,0,2,5,18
Tyreke,Evans,2015-02-20,NOP,ORL,False,2141.0,4,13,0,5,6,0,8,8,10,0,0,2,3,14
David,Lee,2015-02-20,GSW,SAS,True,1117.0,5,5,0,0,1,1,3,4,1,2,1,1,1,11
