James,Johnson,2015-02-21,TOR,HOU,False,2073.0,10,16,1,2,6,8,0,5,5,0,4,4,2,1,27
Corey,Brewer,2015-02-21,HOU,TOR,True,2072.0,12,19,0,2,2,3,2,8,10,2,5,0,3,3,26
Russell,Westbrook,2015-02-21,OKC,CHO,False,2129.0,12,27,0,3,9,9,2,5,7,10,1,0,6,2,33
Austin,Rivers,2015-02-21,LAC,SAC,True,1584.0,11,19,5,9,1,2,0,1,1,2,3,0,1,2,28
Pau,Gasol,2015-02-21,CHI,PHO,True,1911.0,9,13,1,1,3,4,2,12,14,2,0,2,3,0,22
Mo,Williams,2015-02-21,CHO,OKC,True,2285.0,8,17,5,10,3,3,2,2,4,12,1,0,5,2,24
Eric,Gordon,2015-02-21,NOP,MIA,False,2401.0,7,18,6,11,4,4,1,3,4,6,1,0,1,0,24
J.J.,Redick,2015-02-21,LAC,SAC,True,1584.0,6,13,4,6,8,8,0,2,2,3,0,0,0,2,24
P.J.,Tucker,2015-02-21,PHO,CHI,False,1588.0,8,13,4,7,0,0,2,4,6,1,3,0,1,4,20
Jamal,Crawford,2015-02-21,LAC,SAC,True,1240.0,10,18,1,7,2,2,0,1,1,6,1,0,1,3,23
Michael,Kidd-Gilchrist,2015-02-21,CHO,OKC,True,1766.0,8,14,0,0,4,4,2,2,4,0,3,0,0,2,20
Eric,Bledsoe,2015-02-21,PHO,CHI,False,1897.0,5,8,1,3,2,2,2,5,7,8,3,1,5,2,13
Al,Jefferson,2015-02-21,CHO,OKC,True,2016.0,9,18,1,1,1,1,4,8,12,1,0,0,0,3,20
James,Harden,2015-02-21,HOU,TOR,True,1758.0,5,12,2,6,8,10,0,5,5,7,2,0,5,2,20
Cody,Zeller,2015-02-21,CHO,OKC,True,1207.0,5,9,0,0,3,4,1,3,4,3,1,4,0,1,13
Omer,Asik,2015-02-21,NOP,MIA,False,1928.0,6,9,0,0,3,5,2,7,9,2,1,0,1,1,15
Ray,McCallum,2015-02-21,SAC,LAC,False,1395.0,4,7,0,1,2,2,2,5,7,5,1,2,1,0,10
Mario,Chalmers,2015-02-21,MIA,NOP,True,2198.0,9,13,2,5,0,0,0,2,2,2,1,0,2,4,20
Serge,Ibaka,2015-02-21,OKC,CHO,False,1989.0,8,14,0,2,0,0,3,9,12,1,1,3,3,3,16
DeAndre,Jordan,2015-02-21,LAC,SAC,True,1204.0,5,11,0,0,1,2,7,8,15,0,1,2,0,4,11
Mitch,McGary,2015-02-21,OKC,CHO,False,891.0,4,7,0,0,1,1,5,5,10,1,2,2,1,2,9
Hassan,Whiteside,2015-02-21,MIA,NOP,True,1799.0,5,11,0,0,1,2,6,10,16,0,0,5,2,2,11
Derrick,Rose,2015-02-21,CHI,PHO,True,1515.0,5,12,1,3,5,5,0,4,4,5,1,0,1,4,16
Jonas,Valanciunas,2015-02-21,TOR,HOU,False,1519.0,3,5,0,0,5,5,2,5,7,0,3,0,1,3,11
Omri,Casspi,2015-02-21,SAC,LAC,False,1676.0,4,8,1,2,2,3,3,14,17,1,0,0,1,1,11
Mike,Dunleavy,2015-02-21,CHI,PHO,True,1702.0,6,11,3,5,0,0,1,1,2,4,1,0,2,2,15
Donatas,Motiejunas,2015-02-21,HOU,TOR,True,1830.0,5,12,0,2,2,2,3,8,11,2,3,2,3,3,12
